SrcEntity	TgtEntity	Score
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C87167	http://purl.obolibrary.org/obo/DOID_13593	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9332	http://purl.obolibrary.org/obo/DOID_1357	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40153	http://purl.obolibrary.org/obo/DOID_7664	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36077	http://purl.obolibrary.org/obo/DOID_4927	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C128418	http://purl.obolibrary.org/obo/DOID_9537	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5112	http://purl.obolibrary.org/obo/DOID_2621	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84770	http://purl.obolibrary.org/obo/DOID_9279	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3329	http://purl.obolibrary.org/obo/DOID_3829	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27874	http://purl.obolibrary.org/obo/DOID_6612	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84389	http://purl.obolibrary.org/obo/DOID_8506	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84788	http://purl.obolibrary.org/obo/DOID_0050562	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7286	http://purl.obolibrary.org/obo/DOID_5207	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7376	http://purl.obolibrary.org/obo/DOID_7474	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27087	http://purl.obolibrary.org/obo/DOID_11165	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6879	http://purl.obolibrary.org/obo/DOID_7716	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84719	http://purl.obolibrary.org/obo/DOID_9255	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C98989	http://purl.obolibrary.org/obo/DOID_10629	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C101253	http://purl.obolibrary.org/obo/DOID_520	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27027	http://purl.obolibrary.org/obo/DOID_13146	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5381	http://purl.obolibrary.org/obo/DOID_5547	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6512	http://purl.obolibrary.org/obo/DOID_5128	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8955	http://purl.obolibrary.org/obo/DOID_14544	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84882	http://purl.obolibrary.org/obo/DOID_1081	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C131450	http://purl.obolibrary.org/obo/DOID_0050947	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C88413	http://purl.obolibrary.org/obo/DOID_10939	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3898	http://purl.obolibrary.org/obo/DOID_0050909	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34842	http://purl.obolibrary.org/obo/DOID_10983	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75463	http://purl.obolibrary.org/obo/DOID_11983	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39911	http://purl.obolibrary.org/obo/DOID_3579	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50466	http://purl.obolibrary.org/obo/DOID_0060224	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39976	http://purl.obolibrary.org/obo/DOID_3577	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4716	http://purl.obolibrary.org/obo/DOID_4055	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34439	http://purl.obolibrary.org/obo/DOID_1176	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3178	http://purl.obolibrary.org/obo/DOID_0080188	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50486	http://purl.obolibrary.org/obo/DOID_3526	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4024	http://purl.obolibrary.org/obo/DOID_3748	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40392	http://purl.obolibrary.org/obo/DOID_2661	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9146	http://purl.obolibrary.org/obo/DOID_5189	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C98952	http://purl.obolibrary.org/obo/DOID_12638	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4731	http://purl.obolibrary.org/obo/DOID_870	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84391	http://purl.obolibrary.org/obo/DOID_10871	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123111	http://purl.obolibrary.org/obo/DOID_12132	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5271	http://purl.obolibrary.org/obo/DOID_7482	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35197	http://purl.obolibrary.org/obo/DOID_2475	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5436	http://purl.obolibrary.org/obo/DOID_4787	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27389	http://purl.obolibrary.org/obo/DOID_8415	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5747	http://purl.obolibrary.org/obo/DOID_5140	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126745	http://purl.obolibrary.org/obo/DOID_0110301	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4191	http://purl.obolibrary.org/obo/DOID_2682	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5697	http://purl.obolibrary.org/obo/DOID_4118	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40370	http://purl.obolibrary.org/obo/DOID_6742	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6699	http://purl.obolibrary.org/obo/DOID_7168	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5488	http://purl.obolibrary.org/obo/DOID_5700	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26883	http://purl.obolibrary.org/obo/DOID_12894	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3472	http://purl.obolibrary.org/obo/DOID_627	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5449	http://purl.obolibrary.org/obo/DOID_502	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80444	http://purl.obolibrary.org/obo/DOID_0050211	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C123175	http://purl.obolibrary.org/obo/DOID_13507	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41377	http://purl.obolibrary.org/obo/DOID_0060417	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3174	http://purl.obolibrary.org/obo/DOID_8552	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9140	http://purl.obolibrary.org/obo/DOID_0080146	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5300	http://purl.obolibrary.org/obo/DOID_6337	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6267	http://purl.obolibrary.org/obo/DOID_5597	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126326	http://purl.obolibrary.org/obo/DOID_5325	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C7362	http://purl.obolibrary.org/obo/DOID_7578	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4670	http://purl.obolibrary.org/obo/DOID_3017	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6643	http://purl.obolibrary.org/obo/DOID_7922	1.0
