SrcEntity	TgtEntity	Score
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4459	http://purl.obolibrary.org/obo/DOID_3151	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5698	http://purl.obolibrary.org/obo/DOID_1993	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8955	http://purl.obolibrary.org/obo/DOID_299	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35276	http://purl.obolibrary.org/obo/DOID_4090	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C126328	http://purl.obolibrary.org/obo/DOID_0050439	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85199	http://purl.obolibrary.org/obo/DOID_883	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85015	http://purl.obolibrary.org/obo/DOID_0050338	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5184	http://purl.obolibrary.org/obo/DOID_3017	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C125592	http://purl.obolibrary.org/obo/DOID_0050736	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5310	http://purl.obolibrary.org/obo/DOID_1140	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26972	http://purl.obolibrary.org/obo/DOID_2742	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34874	http://purl.obolibrary.org/obo/DOID_3342	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26747	http://purl.obolibrary.org/obo/DOID_9351	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34469	http://purl.obolibrary.org/obo/DOID_8466	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C35436	http://purl.obolibrary.org/obo/DOID_225	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C39824	http://purl.obolibrary.org/obo/DOID_6477	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27849	http://purl.obolibrary.org/obo/DOID_2870	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27474	http://purl.obolibrary.org/obo/DOID_4007	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26798	http://purl.obolibrary.org/obo/DOID_0050736	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C130983	http://purl.obolibrary.org/obo/DOID_0060388	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48576	http://purl.obolibrary.org/obo/DOID_5719	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34413	http://purl.obolibrary.org/obo/DOID_224	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6143	http://purl.obolibrary.org/obo/DOID_4919	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C124056	http://purl.obolibrary.org/obo/DOID_2256	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C5423	http://purl.obolibrary.org/obo/DOID_4706	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6685	http://purl.obolibrary.org/obo/DOID_4556	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6341	http://purl.obolibrary.org/obo/DOID_3308	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C27444	http://purl.obolibrary.org/obo/DOID_10534	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4618	http://purl.obolibrary.org/obo/DOID_0060096	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C40188	http://purl.obolibrary.org/obo/DOID_3744	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26911	http://purl.obolibrary.org/obo/DOID_121	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84695	http://purl.obolibrary.org/obo/DOID_8672	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4816	http://purl.obolibrary.org/obo/DOID_3159	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84676	http://purl.obolibrary.org/obo/DOID_0050737	1.0
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C9077	http://purl.obolibrary.org/obo/DOID_5556	1.0
